"name	address	""type							"""
"AWF	Marymoncka 34	""Football							"""
"Centrum Kształcenia Ustawicznego nr 3	K. Sołtyka 8/10	""Handball							"""
"Centrum Kształcenia Ustawicznego nr 5	Mińska 1/5	""Football							"""
"CIX LO z Oddziałami Integracyjnymi im. Heleny Modrzejewskiej	E. Warchałowskiego 4	""Basketball							"""
"CXIX Liceum Ogólnokształcące im.Jacka Kuronia	Złota 58	""Volleyball							"""
"Dzielnicowy Klub Sportowy Targówek	Kołowa 18	""Basketball							"""
"Gimnazjum nr 10 im. gen. Władysława Sikorskiego	B. Limanowskiego 9	""Football							 """
"Gimnazjum nr 11 im. Ignacego Jana Paderewskiego	Podbipięty 2	""Volleyball							"""
"Gimnazjum nr 112 im. Króla Jana III Sobieskiego	Solipska 17/19	""Volleyball							"""
"Gimnazjum nr 119 im. Marszałka Józefa Piłsudskiego	Klimatyczna (W) 1	""Football							"""
"Gimnazjum nr 121 im. Wojciecha Zawadzkiego	Płużnicka 4	""Football							"""
"Gimnazjum nr 124 im. Polskich Noblistów	Przytulna 3	""Volleyball							"""
"Gimnazjum Nr 131 im. Krzysztofa Kamila Baczyńskiego	M. Drzymały 1	""Football							"""
"Gimnazjum nr 132 i LVI Liceum Ogólnokształcące im. Leona Kruczkowskiego	Dzieci Warszawy 42	""Volleyball							"""
"Gimnazjum nr 133 im. Ks. Stefana Kardynała Wyszyńskiego	Warszawska 63	""Football							"""
"Gimnazjum nr 141 im. majora Henryka Dobrzańskiego Hubala	Trocka 4	""Basketball							"""
"Gimnazjum nr 144 im. Szarych Szeregów	Turmoncka 2	""Handball							"""
"Gimnazjum nr 145 im. Jana Pawła II	Krasiczyńska 4/6	""Handball							"""
"Gimnazjum nr 15 im. gen. dyw. Stefana Roweckiego Grota	J. Siemieńskiego 6	""Football							"""
"Gimnazjum nr 2 im. Kawalerów Orderu Wojennego Virtuti Militari	L. Narbutta 65/71	""Football							"""
"Gimnazjum nr 20 im. Bohaterów Olszynki Grochowskiej	Afrykańska 11	""Volleyball							"""
"Gimnazjum nr 22 im. gen. Piotra Szembeka	Boremlowska 6/12	""Basketball							"""
"Gimnazjum nr 27 z Oddziałami Dwujęzycznymi im. Orląt Lwowskich	Gen. R. Abrahama 10	""Volleyball							"""
"Gimnazjum nr 28 im. gen. bryg. Franciszka Sznajdego	W. Umińskiego 11	""Handball							"""
"Gimnazjum nr 3 im. Marszałka Józefa Piłsudskiego	Chełmska 23	""Basketball							"""
"Gimnazjum nr 30 im. Kazimierza Pułaskiego	J. Szanajcy 17/19	""Volleyball							"""
"Gimnazjum nr 31 z Oddziałami Integracyjnymi im. rotmistrza Witolda Pileckiego	J. Sierakowskiego 9	""Volleyball							"""
"Gimnazjum nr 37 z Oddziałami Integracyjnymi im. Krzysztofa Kamila Baczyńskiego	Niska 5	""Volleyball							"""
"Gimnazjum nr 38 im. Marii Skłodowskiej-Curie	Świętokrzyska 18A	""Handball							"""
"Gimnazjum nr 46 im. Szarych Szeregów	M. Kasprzaka 1/3	""Basketball							"""
"Gimnazjum Nr 47 z Oddziałami Dwujęzycznymi im. Marszałka Józefa Piłsudskiego	Grenady 16	""Handball							"""
"Gimnazjum nr 48 im. Jana Pawła II	Deotymy 25/33	""Basketball							"""
"Gimnazjum nr 49 im. Stefana Starzyńskiego	Smocza 19	""Volleyball							"""
"Gimnazjum nr 5 im. Tadeusza Kościuszki	Aleja Niepodległości 27	""Volleyball							"""
"Gimnazjum nr 51 im. Bolesława Prusa	Króla Jana Olbrachta 48/56	""Volleyball							"""
"Gimnazjum nr 56 im. Aleksego Dawidowskiego ps. Alek	Filarecka 2	""Basketball							"""
"Gimnazjum nr 6 im. Pułku Armii Krajowej „Baszta”	P. Gruszczyńskiego 12	""Basketball							"""
"Gimnazjum nr 7 z Oddziałami Integracyjnymi przy Łazienkach Królewskich	Podchorążychh 49/61	""Handball							"""
"Gimnazjum nr 72 im. Antoniego Bolesława Dobrowolskiego	S. Przybyszewskiego 45	""Basketball							"""
"Gimnazjum Nr 81 im. Profesora Witolda Doroszewskiego	Rozłogi 10	""Volleyball							"""
"Gimnazjum nr 91 im. Stanisława Staszica	Kajakowa 10	""Basketball							"""
"Gimnazjum nr 92 im. Juliana Ursyna Niemcewicza	Koncertowa 4	""Volleyball							"""
"Gimnazjum nr 93 im. Księżnej Izabeli Czartoryskiej	S. Szolc-Rogozińskiego 2	""Handball							"""
"Gimnazjum nr 94	Na Uboczu 9	""Basketball							"""
"Gimnazjum nr 96 im. Krystyny Krahelskiej	Wokalna 1	""Handball							"""
"Gimnazjum z Oddziałami Dwujęzycznymi nr 18 im. Ignacego Jana Paderewskiego	Angorska 2	""Basketball							"""
"Gimnazjum z Oddziałami Dwujęzycznymi nr 42	Twarda 8/12	""Basketball							"""
"Gimnazjum z Oddziałami Dwujęzycznymi nr 83 im. Konstancji Markiewicz	M. Andriollego 1	""Volleyball							"""
"Gimnazjum z Oddziałami Integracyjnymi nr 126 im. Bohaterów Westerplatte	Gen. K. Ziemskiego Wachnowskiego 22	""Volleyball							"""
"Gimnazjum z Oddziałami Integracyjnymi nr 14 im. Leopolda Staffa	Barska 32	""Volleyball							"""
"Gimnazjum z Oddziałami Integracyjnymi nr 143 im. Ignacego Jana Paderewskiego	Bartnicza 8	""Volleyball							"""
"Gimnazjum z Oddziałami Integracyjnymi nr 55 im. Jana Bytnara ps. Rudy	Aleja Wojska Polskiego 1A	""Handball							"""
"Gimnazjum z Oddziałami Integracyjnymi nr 16	S. Skarżyńskiego 8	""Volleyball							"""
"Gimnazjum z Oddziałami Integracyjnymi nr 16	S. Skarżyńskiego 8	""Basketball							"""
"Grupa Uczelni Vistula	Stokłosy 3	""Football							"""
"IV LO im. Adama Mickiewicza	Saska 59	""Volleyball							"""
"IV LO im. Adama Mickiewicza	Saska 59	""Volleyball							"""
"Katolicki Zespół Edukacyjny im. Ks. Piotra Skargi	Gen. J. Bema 73	""Football							"""
"LI Liceum Ogólnokształcące im. Tadeusza Kościuszki	Kadrowa 5/15	""Football							"""
"LXIII LO im. Lajosa Kossutha	L. Hirszfelda 11	""Volleyball							"""
"LXVIII LO im. Tytusa Chałubińskiego	L. Narbutta 31	""Football							"""
"LXX LO im. Aleksandra Kamińskiego	E. Dembowskiego 1	""Volleyball							"""
"LXXII LO im. gen. Jakuba Jasińskiego	Grochowska 346/348	""Basketball							"""
"LXXVI LO im. Józefa Piłsudskiego	Kowelska 1	""Basketball							"""
"LXXVIII LO im. Marii Pawlikowskiej-Jasnorzewskiej	A. Krzywoń 3	""Basketball							"""
"LXXXI LO im. Aleksandra Fredry	Miła 7	""Football							"""
"LXXXVI LO im. Batalionu Zośka	K. Garbińskiego 1	""Basketball							"""
"Międzyszkolny Ośrodek Sportowy nr 6 Wola	Rogalińska 2	""Handball							"""
"Młodzieżowy Ośrodek Socjoterapii nr 3 Dom na Trakcie im. prof. dr Stanisława Jedlewskiego	Trakt Lubelski 40	""Basketball							"""
"Młodzieżowy Ośrodek Socjoterapii nr 4	Aleja W. Reymonta 16	""Football							"""
"Młodzieżowy Ośrodek Socjoterapii nr 7	Osowska 81	""Handball							"""
"Młodzieżowy Ośrodek Wychowawczy Nr 2	Strażacka 57	""Football							"""
"Niepubliczna SP Nr 81 Fundacji Rodzice Dzieciom (właściciel prywatny)	Nowowiejska 39A	""Football							"""
"Obiekt Sportowy przy Zespole Szkół Nr 79 im. St. Kostki Potockiego	Wiertnicza 26	""Basketball							"""
"OSiR Targówek	Łabiszyńska 20	""Basketball							"""
"Ośrodek Szkolno-Wychowawczy dla Dzieci Słabo Słyszących nr 15 im. Ottona Lipkowskiego	Zakroczymska 6	""Handball							"""
"Ośrodek Szkolno-Wychowawczy dla Dzieci Słabowidzących nr 8 im.dr Zofii Galewskiej	Koźmińska 7	""Basketball							"""
"Państwowe Studium Stenotypii i Języków Obcych Zespół Szkół Policealnych	Ogrodowa 16	""Handball							"""
"Prywatna SP nr 6 Sióstr Niepokalanek (właściciel prywatny)	J. Zaruby 2	""Handball							"""
"Prywatna SP nr 92 (właściciel prywatny)	Patriotów 347	""Volleyball							"""
"SGGW	J. Ciszewskiego 10	""Basketball							"""
"SGH	Wiśniowa 41	""Volleyball							"""
"SGH	Aleja Niepodległości 162	""Volleyball							"""
"SP nr 289 im. H.Sienkiewicza	W. Broniewskiego 99A	""Handball							"""
"SP 187 im. A. Mickiewicza	L. Staffa 21	""Handball							"""
"SP im. Św. Franciszka (właściciel prywatny)	Teresińska 9	""Volleyball							"""
"SP nr 10 im. Grzegorza Piramowicza	Jasielska 49/53	""Basketball							"""
"SP nr 100 im. płk Francesco Nullo	Taneczna 54/58	""Handball							"""
"SP nr 103 im. Bohaterów Warszawy 1939-1945	Jeziorna 5/9	""Volleyball							"""
"SP nr 107 im. Bronisława Malinowskiego	Nowoursynowska 210/212	""Football							"""
"SP nr 109 im. Batalionów Chłopskich	Przygodna 2	""Volleyball							"""
"SP nr 11 im. I Dywizji Kościuszkowskiej	M. Keniga 20	""Basketball							"""
"SP nr 110 im. K. Jeżewskiego	Bohaterów 41	""Handball							"""
"SP nr 112 im. Marii Kownackiej	Zaułek 34	""Volleyball							"""
"SP nr 114 im. Jędrzeja Cierniaka	Remiszewska 40	""Handball							"""
"SP nr 115 im. Wandy Turowskiej	Okrężna 80	""Volleyball							"""
"SP nr 118 im. Przyjaciół Mazowsza	Leszczynowa 5	""Handball							"""
"SP nr 119 im. 3 Berlińskiego Pułku Piechoty	Pułku Baszta 3	""Football							"""
"SP nr 12 im. Powstańców Śląskich	Górnośląska 45	""Basketball							"""
"SP nr 124 im. St. Jachowicza	Bartoszycka 45/47	""Basketball							"""
"SP nr 127 im. Henryka Sienkiewicza	Kowieńska 12/20	""Volleyball							"""
"SP nr 128 im. Józefa Niećki	Kadetów 15	""Football							"""
"SP nr 132 im. Sandora Petofiego	Grabowska 1	""Volleyball							"""
"SP nr 133 im. St. Czarnieckiego	J. Fontany 3	""Volleyball							"""
"SP nr 138 im. Józefa Horsta	M. Pożaryskiego 2	""Volleyball							"""
"SP nr 139 im. Ludwiki Wawrzyńskiej	Syreny 5/7	""Basketball							"""
"SP nr 140 im. Kazimierza Jeżewskiego / Gimnazjum nr 104	Wilgi 19	""Basketball							"""
"SP nr 141 im. mjr Henryka Sucharskiego	Szaserów 117	""Basketball							"""
"SP nr 143 im. Stefana Starzyńskiego	Aleja Stanów Zjednocznonych 27	""Basketball							"""
"SP nr 146 im. Janusza Korczaka	Domaniewska 33	""Volleyball							"""
"SP nr 148 im. Hugona Kołłątaja	Ożarowska 69	""Basketball							"""
"SP nr 158 im. Jana Kilińskiego	Ciasna 7/13	""Volleyball							"""
"SP nr 163 im. Batalionu Zośka	Osiecka 28/32	""Volleyball							"""
"SP nr 166 im. Żwirki i Wigury	Żytnia 40	""Volleyball							"""
"SP nr 171 im. Stanisława Staszica	Armii Krajowej (W) 39	""Basketball							"""
"SP nr 173 im. Górników Polskich	Trakt Brzeski (W) 18	""Football							"""
"SP nr 174 z Oddziałami Integracyjnymi im. Tadeusza Kościuszki	Plac Wojska Polskiego (W) 28	""Volleyball							"""
"SP nr 185 im. UNICEF	Gen. T. Bora-Komorowskiego 31	""Football							"""
"SP nr 190 im. Orła Białego	Zwierzyniecka 10	""Volleyball							"""
"SP nr 191 im. Józefa Ignacego Kraszewskiego	Bokserska 30	""Volleyball							"""
"SP nr 202 im. 34 Pułku Strzelców Budziszyńskich	J. Bytnara Rudego 19	""Football							"""
"SP nr 203	Ks. I. J. Skorupki 8	""Basketball							"""
"SP nr 205 im. Żołnierzy Powstania Warszawskiego	Spartańska 4	""Football							"""
"SP nr 209 im Hanki Ordonówny	Aleja W. Reymonta 25	""Volleyball							"""
"SP nr 210 im. Bohaterów Pawiaka	Karmelicka 13	""Basketball							"""
"SP nr 211 im. Janusza Korczaka	Nowy Świat 21A	""Volleyball							"""
"SP nr 212 im. Krystyny Krahelskiej	Czarnomorska 3	""Handball							"""
"SP nr 215 im. Piotra Wysockiego	Kwatery Głównej 13	""Basketball							"""
"SP nr 217 z Oddziałami Integracyjnymi im. Obrońców Radiostacji AK w Rembertowie	Paderewskiego 45	""Basketball							"""
"SP nr 218 im. Michała Kajki	M. Kajki 80/82	""Handball							"""
"SP nr 220 im. Stanisława Kopczyńskiego	Aleja Jana Pawła II 26A	""Basketball							"""
"SP nr 220 im. Stanisława Kopczyńskiego	Aleja Jana Pawła II 26A	""Volleyball							"""
"SP nr 221 im. Barbary Bronisławy Czarnowskiej	Ogrodowa 42/44	""Basketball							"""
"SP nr 222 im. Jana Brzechwy	Esperanto 7A	""Basketball							"""
"SP nr 225 im. Józefa Gardeckiego	J. Brożka 15	""Volleyball							"""
"SP nr 227 im. kapitana Lucyny Hertz	Astronautów 17	""Volleyball							"""
"SP nr 23 im. Edwarda Szymańskiego	Wawelska 48	""Handball							"""
"SP nr 231 im. Gen. Mariusza Zaruskiego	Juranda ze Spychowa 10	""Handball							"""
"SP nr 234 im. Juliana Tuwima	Esperanto 5	""Football							"""
"SP nr 238 im. Christo Botewa	Redutowa 37	""Football							"""
"SP nr 246 im. I WDP im. Tadeusza Kościuszki	Białowieska 22	""Volleyball							"""
"SP nr 25 im. Komisji Edukacji Narodowej	Grzybowska 35	""Football							"""
"SP nr 255 im. Cypriana Kamila Norwida	Kamionkowska 36/44	""Volleyball							"""
"SP nr 257 im. prof. M. Falskiego	Podróżnicza 11	""Basketball							"""
"SP nr 258 im. gen. Jakuba Jasińskiego	B. Brechta 8	""Handball							"""
"SP nr 264 im. Gabrieli Mistral	W. Skorochód-Majewskiego 17	""Basketball							"""
"SP nr 267 im. Juliusza Słowackiego	Braci Załuskich 1	""Handball							"""
"SP nr 273 im. dr. Aleksandra Landy	J. Balcerzaka 1	""Football							"""
"SP nr 275 z Oddziałami Integracyjnymi im. Artura Oppmana	Św. Hieronima 2	""Handball							"""
"SP nr 277 im. Elizy Orzeszkowej	Suwalska 29	""Handball							"""
"SP nr 279 im. Batalionów AK GUSTAW I HARNAŚ	Cyrklowa 1	""Handball							"""
"SP nr 28 im. Stefana Żeromskiego	Gościeradowska 18/20	""Handball							"""
"SP nr 285 im. Jana Marcina Szancera	Turmoncka 20	""Football							"""
"SP nr 29 im. Giuseppe Garibaldiego	Fabryczna 19	""Basketball							"""
"SP nr 293 im.J.Kochanowskiego	J. Kochanowskiego 8	""Basketball							"""
"SP nr 298 im. Jana Kasprowicza	Krakusa 2	""Handball							"""
"SP nr 303 im. Fryderyka Chopina	Koncertowa 8	""Volleyball							"""
"SP Nr 306 im. ks. Jana Twardowskiego	Tkaczy 27	""Football							"""
"SP nr 307 im. Jana III Sobieskiego	Barcelońska 8	""Basketball							"""
"SP nr 312 im. Ewy Szelburg - Zarembiny	W. Umińskiego 12	""Football							"""
"SP nr 313 im. Polskich Odkrywców	J. Cybisa 1	""Basketball							"""
"SP nr 314 im. Przyjaciół Ziemi	Porajów 3	""Basketball							"""
"SP nr 318 im. J.Ch. Andersena	L. Teligi 3	""Basketball							"""
"SP nr 319 im. Marii Kann	Związku Walki Młodych 10	""Basketball							"""
"SP nr 32 z Oddziałami Integracyjnymi im. Małego Powstańca	J. Lewartowskiego 2	""Basketball							"""
"SP Nr 321	W. Szadkowskiego 3	""Volleyball							"""
"SP nr 322 im. Jana Brzechwy	E. Dembowskiego 9	""Football							"""
"SP nr 33 im. Wojsk Obrony Powietrznej Kraju	Cieszyńska 8	""Handball							"""
"SP nr 330 z oddziałami integracyjnymi im. Nauczycieli Tajnego Nauczania	Mandarynki 1	""Handball							"""
